Run,Timestamp,Metric
1,2025-05-30T20:33:29,RTT = 514 μs
2,2025-05-30T20:33:30,RTT = 917 μs
3,2025-05-30T20:33:31,RTT = 719 μs
4,2025-05-30T20:33:32,RTT = 951 μs
5,2025-05-30T20:33:33,RTT = 1051 μs
6,2025-05-30T20:33:34,RTT = 1260 μs
7,2025-05-30T20:33:35,RTT = 1037 μs
8,2025-05-30T20:33:36,RTT = 1137 μs
9,2025-05-30T20:33:37,RTT = 474 μs
10,2025-05-30T20:33:38,RTT = 879 μs
